21D0	'Acqua', 'Carro dell'acqua' (Ripa)
11M	'Sapientia' e le sette Virtù, ovvero le tre Virtù Teologali e le quattro Virtù Cardinali
11E541	'Sapientia', Sapienza; 'Sapienza divina' (Ripa) ~ uno dei sette doni dello Spirito Santo
48C20	'Sculptura', rappresentazioni simboliche, allegorie ed emblemi ~ scultura; 'Scoltura' (Ripa)
43A431	'Trionfi' (del Petrarca)
11D312	'Vera Icon', 'Sudarium', velo della Veronica
11D3121	'Vera Icon', sostenuta dalla Veronica
45A30	'Victoria'; 'Vittoria', 'Vittoria navale', 'Vittoria degl'antichi' (Ripa)
11D314	'Volto Santo', p.es. di Lucca (attribuito a Nicodemo)
31A25311	'caput manui innixum', testa tenuta con la mano (tra le mani)
73C221	'comanda a queste pietre di diventare pani' ~ tentazione di Cristo nel deserto
48C90	'litterae', rappresentazioni simboliche, allegorie ed emblemi ~ letteratura; 'Lettere' (Ripa)
48C51561	'passe-partout'
11D31	'ritratti' di Cristo
11F22	'ritratti' di Maria Vergine
92C455	'sine Cerere et Baccho friget Venus'
12A7542	'tefillin', filatteri ~ oggetti rituali, cultura ebraica
41E2	'trompe' l'oeil'
45L3111	'tropaion', ovvero decorazione ~ armi
73A32	(Gioacchino e Anna con) Maria bambina
11P31110	(allegoria del) papato ed eredità apostolica
25H113	(alta) collina
25HH113	(alta) collina - HH - paesaggi ideali
92B5722	(altri) ibridi a forma di pilastro
25A24	(carta dell') Africa
43C7872	(giocare con) animali giocattolo
43C787	(giocare con) bambole, animali giocattolo
43C78	(giocare con) giocattoli
73A2352	(immacolata) concezione di Maria rappresentata simbolicamente
41D9	(mostrarsi) svestiti, seminudi
24C22	(personificazioni dei) pianeti con i loro figli, cosiddetti 'Planetenkinder', accompagnati dai corrispondenti segni zodiacali
11C15	(raggi di) luce ~ simbolo di Dio Padre
73A	(scene dalla vita di) Giovanni Battista e Maria
11M2	(simboli delle) sette Virtù
11I36	(singolo) apostolo, non specificato
11I16	(singolo) profeta, non specificato
92D4	(storia delle) Muse; 'Muse' (Ripa)
92C491	(storia di) Adone
92B3	(storia di) Apollo (Febo)
92L121	(storia di) Arianna e Bacco
92F2	(storia di) Asclepio (Esculapio)
92E1	(storia di) Aurora (Eos); 'Aurora' (Ripa)
92L1	(storia di) Bacco (Dioniso), Libero
92M1	(storia di) Cerere (Demetra)
92D1	(storia di) Cupido, Amore (Eros)
92C3	(storia di) Diana (Artemide)
94L	(storia di) Ercole (Eracle)
96A23	(storia di) Flora
92I22	(storia di) Galatea; 'Galatea' (Ripa)
96A12	(storia di) Giano
92B1	(storia di) Giove (Zeus)
92C1	(storia di) Giunone (Era)
92C14	(storia di) Giunone (Era) - atti e relazioni aggressivi, ostili
92B4	(storia di) Marte (Ares)
92B5	(storia di) Mercurio (Ermes)
92C2	(storia di) Minerva (Pallade, Atena)
92H1	(storia di) Nettuno (Poseidone)
92D5	(storia di) Nike
94O	(storia di) Orfeo
91B132	(storia di) Pallante (Titano)
92L5	(storia di) Pan
92K14	(storia di) Peneo
94P	(storia di) Perseo
92N1	(storia di) Plutone (Ade), Dis Pater, Orco
91E4	(storia di) Prometeo
91B111	(storia di) Saturno (Crono)
92L421	(storia di) Sileno
92H3	(storia di) Tritone
92C4	(storia di) Venere (Afrodite)
92C5	(storia di) Vesta
92B2	(storia di) Vulcano (Efesto)
11Q65	(venerazione di) oggetti devozionali
71H244	Abigail, moglie di Nabal, viene avvertita del rifiuto di Nabal e dell'avanzata di David
71C112	Abramo comunica con Dio (in generale)
71C119	Abramo e Agar
71C1224	Abramo ospita i tre angeli
71C1313	Abramo prende il coltello per uccidere Isacco
71C1222	Abramo si prostra davanti agli angeli
94G2	Achille fa strage sul campo di battaglia; gli dei scendono dall'Olimpo per partecipare alla battaglia (Il. XX-XXII)
94C22	Achille scoperto tra le figlie di Licomede, ovvero Achille a Sciro; quando vengono offerti dei doni, Achille afferra le armi e così tradisce la sua identità
94F832	Achille veste le armi
92I2221	Aci ama Galatea
71A5	Adamo ed Eva in paradiso (dopo la Caduta)
71A35	Adamo ed Eva in paradiso (prima della Caduta)
71A53	Adamo ed Eva rimproverati da Dio
93E	Ade, gli inferi
71C1284	Agar e Ismaele nel deserto
71C12841	Agar in lacrime dopo aver deposto Ismaele morente sotto un cespuglio
33C9	Amore: 'Frau Minne' e altre allegorie
73F25342	Andrea in adorazione della croce ('O bona crux')
73F2534	Andrea in cammino verso il luogo dell'esecuzione (talvolta condotto da soldati)
94P2112	Andromeda incatenata alla roccia
73A331	Anna insegna a leggere a Maria
73A523	Annunciazione: Maria in ginocchio
73AA523	Annunciazione: Maria in ginocchio - AA - Maria a sinistra, l'angelo a destra
73A521	Annunciazione: Maria in piedi
73A522	Annunciazione: Maria seduta
73AA522	Annunciazione: Maria seduta - AA - Maria a sinistra, l'angelo a destra
73G1	Apocalisse 1 - 3
73G2	Apocalisse 4 - 5
73G3	Apocalisse 6 - 11
92B373	Apollo che suona la lira, Apollo Citaredo
92B371	Apollo come dio del sole, ovvero Sole (Elio), il Titano
92B3731	Apollo e le Muse, Apollo Musagete
92B325	Apollo insegue la ninfa Dafne (non ancora trasformata)
92B3711	Apollo sul carro del sole, tirato da quattro cavalli, in genere preceduto da Aurora che regge una torcia; 'Carro del Sole' (Ripa)
92B342	Apollo uccide il drago Pitone
12A422	Arca dell'Alleanza ~ religione ebraica
71H849	Assalonne, in fuga su una mula, rimane sospeso per i capelli ad un albero
97C1	Atteone trasformato in cervo: come punizione per averla guardata mentre si bagnava a una fonte, Diana trasforma il cacciatore Atteone in un cervo (Met. III, 193)
97C11	Atteone, trasformato in cervo, viene divorato dai suoi stessi cani
92L1122	Bacco educato da satiri, menadi e da Sileno
92L1211	Bacco trova Arianna a Nasso
73F2742	Bartolomeo scorticato vivo
7	Bibbia (storie dal Vecchio e dal Nuovo Testamento)
73D3222	Caifa si straccia le vesti ~ processo a Cristo
11M33	Carità, 'Caritas'; 'Carità' (Ripa) ~ una delle tre Virtù Teologali
93E3	Caronte, il traghettatore
11G12	Cherubini
11D112	Chrismon e forme derivate ~ simbolo di Cristo
11S	Cielo, paradiso terrestre, Nuova Terra
32B3311	Cinese
73E341	Cleofa e Pietro incontrano Cristo (talvolta sono vestiti come pellegrini)
11D	Cristo
11D3271	Cristo Buon Pastore
73E351	Cristo a tavola con gli apostoli ~ dopo la Resurrezione
11D3	Cristo adulto
11D331	Cristo adulto con Maria Vergine
11D332	Cristo adulto con angeli
11D335	Cristo adulto con figure di mortali
11D33	Cristo adulto insieme ad altri personaggi (in contesto non narrativo)
11D334	Cristo adulto insieme agli apostoli, evangelisti, santi, ecc.
11D34	Cristo adulto ~ concettualizzazioni
73D9	Cristo agli Inferi, i tormenti dell'inferno, Cristo al Limbo, 'descensus ad inferos', 'Anastasis'
73D35121	Cristo alla colonna (dopo la flagellazione)
73E35	Cristo appare agli apostoli (riuniti a porte chiuse)
73E33	Cristo appare alle pie donne, di solito le tre Marie
73E741	Cristo appare e accoglie l'anima di Maria ('assumptio animae')
73E421	Cristo ascende al cielo, tenendo la mano di Dio o insieme a uno o più angeli
73E427	Cristo ascende al cielo; in basso sono gli apostoli (e Maria)
73E423	Cristo avvolto da una nuvola ~ Ascensione
73C78	Cristo battezza (in Giudea) (Gv. 3, 26)
73E413	Cristo benedice gli apostoli sul Monte degli Ulivi
73C7224	Cristo benedice i fanciulli condotti dalle loro mamme, in genere qualche discepolo osserva con disapprovazione Mt. 19, 13-15; Mc. 10, 13-16; Lc. 18, 15-17)
73D411	Cristo cade ~ trasporto della croce
73C7124	Cristo chiede agli apostoli:'chi crede la gente che io sia?' (Mt. 16, 13-23; Mc. 8, 27-33; Lc. 9, 18-22)
73C7	Cristo come maestro (parte I): spiegazione della sua dottrina; insegnamento ~ parabole e proverbi
73C8	Cristo come maestro (parte II): parabole e massime di Cristo
73D723	Cristo compianto dagli angeli
11D3251	Cristo con il calice e il pane o l'ostia
73D3512	Cristo con le ferite provocate dalla fustigazione
73C71242	Cristo consegna a Pietro le chiavi del Cielo
73D642	Cristo crocifisso con Maria Maddalena, di solito rappresentata mentre piange e abbraccia la croce
73D641	Cristo crocifisso con Maria e Giovanni ai due lati della croce; la Santa Croce
73D643	Cristo crocifisso con Maria, Giovanni e Maria Maddalena
73D646	Cristo crocifisso con altri personaggi
73D66	Cristo crocifisso sul Golgota (solo, senza alcun personaggio che assiste)
11D355	Cristo crocifisso sull'albero o sulla vite
73D64	Cristo crocifisso, con personaggi specifici ai piedi della croce
73D324	Cristo davanti a Erode; talvolta viene portata una veste sgargiante (Lc. 23, 8-11)
73D323	Cristo davanti a Pilato (Mt. 27, 11-26; Mc. 15, 2-15; Lc. 23, 2-7; 23, 13-25; Gv. 18, 28 - 19, 16)
73D321	Cristo davanti ad Anna; vicino può trovarsi un soldato in atto di percuoterlo (Gv. 18, 13; 18, 19-24)
73D322	Cristo davanti al Sinedrio con Caifa come sommo sacerdote ed eventualmente Anna; può trovarsi vicino un soldato in atto di percuoterlo perché faccia silenzio (Mt. 26, 57-66; Mc. 14, 53-64; Lc. 22, 54; 22, 66-71)
73C621	Cristo discute del tributo al tempio con gli apostoli
73D7222	Cristo disteso ai piedi di Maria
73E4	Cristo e gli apostoli sul Monte degli Ulivi
73C71	Cristo e i dodici apostoli: vocazione, missione e trasfigurazione
73C726	Cristo e i pasti
73C72212	Cristo e la Samaritana: seduto presso il pozzo di Giacobbe Cristo le chiede di bere dalla sua brocca
73E123	Cristo esce dal sepolcro
73C72	Cristo espone la sua dottrina
73C722	Cristo espone la sua dottrina a donne e bambini
73C721	Cristo espone la sua dottrina agli apostoli e discepoli
73D761	Cristo giacente nel sarcofago
73C43	Cristo guarisce gli indemoniati
73C41	Cristo guarisce i ciechi
73C45	Cristo guarisce i lebbrosi
73C42	Cristo guarisce i paralitici
73E422	Cristo in alto nel cielo ~ Ascensione
73C7223	Cristo in casa di Marta e Maria (Lc. 10, 38-42)
73E131	Cristo in piedi sul sepolcro o vicino ad esso ~ episodi successivi alla Resurrezione
11D322	Cristo in trono
73D413	Cristo incontra la Madonna, che talvolta figura in atto di svenire ('Lo Spasimo')
73D415	Cristo incontra la Veronica, che gli asciuga il volto con un panno
73D94	Cristo lascia gli Inferi: libera patriarchi, profeti, re e altri personaggi, tra cui Adamo, Eva, Mosè, David e Giovanni Battista
73D23	Cristo lava i piedi degli apostoli (Gv. 13, 1-20)
73D231	Cristo lava i piedi di Pietro
73D721	Cristo morto compianto da familiari e persone a lui vicine (Cristo è in genere rappresentato senza la corona di spine)
73D6718	Cristo morto ~ particolari iconografici delle scene relative alla crocifissione
73C21	Cristo nel deserto
11D3278	Cristo pellegrino
73D414	Cristo pianto dalle donne di Gerusalemme; in qualche caso raffigurato mentre le consola
73E4221	Cristo portato in cielo dagli angeli ~ Ascensione
73C734	Cristo predica all'aperto
73C732	Cristo predica nel tempio
73C73	Cristo predica o insegna (in generale)
73E425	Cristo quasi del tutto scomparso: solo i piedi sono ancora visibili ~ Ascensione
11D352	Cristo ricoperto di piaghe della peste, 'Pestkruzifixus'
73E15	Cristo risorto (con le piaghe, ma senza corona di spine), talvolta tiene la croce
73E426	Cristo sale in cielo mentre gli apostoli siedono ad un tavolo (~ Mc. 16, 14-19)
11C3	Cristo seduto alla destra di Dio
73D361	Cristo senza altri personaggi (ovvero Ecce Homo)
73C24	Cristo servito da uno o più angeli: gli portano acqua e cibo, talvolta sono inviati da Maria
73D17	Cristo si congeda da Maria, di solito è presente Maria Maddalena
11D354	Cristo si stacca dalla croce per abbracciare qualcuno
11D351	Cristo sofferente (con la corona di spine, il capo generalmente reclinato da un lato, 'Christus patients')
73E133	Cristo sospeso in aria sul sepolcro o vicino ad esso
73D51	Cristo spogliato delle vesti
73E121	Cristo sposta il coperchio del sarcofago ~ Resurrezione
73D7221	Cristo sulle ginocchia di Maria
11D353	Cristo trionfante (con la corona di spine, il capo generalmente eretto, 'Christus triumphans')
73D42	Cristo viene condotto al Golgota; la croce è trasportata da altri
73D711	Cristo viene deposto dalla croce (un braccio di Cristo è ancora inchiodato alla croce)
73D712	Cristo viene deposto ~ deposizione dalla croce
73D315	Cristo viene portato via ~ orto di Getsemani
11D325	Cristo ~ Eucaristia
11D327	Cristo ~ attività umane
73D562	Cristo è inchiodato alla croce già eretta in precedenza
73D37	Cristo, che giace o è trascinato lungo la scalinata, è malmenato alla presenza di Pilato (rottura della canna)
73E32	Cristo, che può essere rappresentato in abito da pellegrino, appare alla madre, raffigurata in genere in atto di pregare
73E12	Cristo, di solito con il vessillo in mano, sorge dal sepolcro; sono spesso rappresentati i soldati addormentati e/o spaventati
73C22	Cristo, talvolta accompagnato da uno o più angeli custodi, è tentato da Satana, che di norma appare in forma umana
97AA1	Dafne trasformata in alloro: mentre fugge da Apollo, Dafne è trasformata in alloro dal padre Peneo (Met. I, 548)
71P3	Daniele e re Dario (Dn. 6)
81C	Dante, 'Divina Commedia' : Usare 83(DANTE, Divina Commedia)
71H13	David come suonatore d'arpa alla corte di Saul
71H145	David con la testa di Golia
71H1443	David decapita Golia con una spada
71H24	David e Abigail (1 Sam. 25)
71H7	David e Betsabea (2 Sam. 11-12)
71H16	David fugge da Saul dopo il matrimonio con Mikal (1 Sam. 19)
71H611	David in comunicazione con Dio; David in preghiera (in generale)
71H152	David vittorioso in numerose guerre contro i filistei ed altri nemici
71H71	David, dalla terrazza del palazzo, vede Betsabea che fa il bagno
92C321	Diana (Luna) visita Endimione addormentato
11C	Dio Padre
11C231	Dio Padre (come vecchio barbato) raffigurato in trono, generalmente con la corona o la tiara e lo scettro e/o il globo
11B312	Dio Padre e lo Spirito Santo sostengono Cristo crocifisso ~ simbologia della Trinità
11C21	Dio Padre rappresentato come uomo adulto o giovane (talvolta simile a Cristo)
11C22	Dio Padre rappresentato come uomo adulto o giovane simile a Giove
11C23	Dio Padre rappresentato come vecchio barbato, generalmente con la corona o la tiara o lo scettro e/o il globo
11C2	Dio padre rappresentato come essere umano, generalmente con la corona o la tiara o lo scettro e/o il globo
71A32	Dio pianta il Giardino di Eden
71A31	Dio plasma l'uomo dalla polvere
71A61	Dio scaccia Adamo ed Eva dal paradiso e mette a guardia dell'albero della vita un angelo con una spada fiammeggiante
73G211	Dio sul trono, circondato da ventiquattro vegliardi (con la corona sul capo e in atto di suonare l'arpa) e dai quattro Esseri viventi
71A341	Dio toglie una costola dal fianco di Adamo addormentato
11A	Divinità, Dio (in generale) ~ religione cristiana
11I5	Dottori (Padri) della Chiesa
71M5	Elia e l'angelo; Elia sul monte Oreb (1 Re 19, 1-18)
93D	Elicona, sacro alle Muse
73A63	Elisabetta benedice Maria
71N34	Eliseo conduce gli Aramei ciechi a Samaria
96B652	Enea con Evandro
96B11	Enea lascia la regione di Troia
96B65	Enea procura aiuti ai Troiani
94L72	Ercole al bivio, 'Herkules am Scheidewege': la scelta di Ercole
94L333	Ercole cattura e trascina via Cerbero (una delle dodici fatiche)
94L221	Ercole colpisce Nesso, il centauro, che tenta di rapire Deianira
94L41	Ercole combatte con eroi, dei, o esseri favolosi
94L411	Ercole combatte con eroi, ecc.: prima serie
94L22	Ercole innamorato di Deianira, figlia di Eneo
94L24	Ercole innamorato di Onfale; l' eroe viene messo a filare lana o a fare altri lavori femminili tra le ancelle, mentre Onfale indossa la sua pelle di leone e brandisce la clava e l' arco
94L332	Ercole si impadronisce dei pomi delle Esperidi (una delle dodici fatiche)
94L4113	Ercole solleva in aria e stritola fino alla morte il gigante Anteo
94L4115	Ercole uccide Caco, il mostro che sputa fuoco, nella sua caverna
94L322	Ercole uccide l'idra di Lerna (una delle dodici fatiche)
94L122	Ercole, nella culla, strangola due serpenti
92B572	Erma: pilastro con la testa di Mercurio, patrono dei viaggiatori
73C1332	Erodiade persuade Salome a chiedere la testa di Giovanni Battista
71E11	Esodo (parte I): eventi che precedono e preparano l'esodo di Israele dall'Egitto
71E12	Esodo (parte II): viaggio di Israele al Monte Sinai
71E13	Esodo (parte III): conclusione della legge Sinaitica e suo rinnovamento
71E	Esodo, Levitico, Numeri, Deuteronomio, Giosuè: dalla schiavitù degli Ebrei in Egitto al loro stabilimento in Canaan
71Q6	Ester davanti ad Assuero (Est. 5, 1-4)
92D422	Euterpe (una delle Muse); 'Euterpe' (Ripa)
71A422	Eva offre il frutto ad Adamo
71A3421	Eva sorge dal corpo di Adamo
71A342	Eva viene plasmata dalla costola di Adamo
96A11	Fauno
11M31	Fede, 'Fides'; 'Fede', 'Fede catholica', 'Fede christiana', 'Fede christiana catholica' (Ripa)
73F2641	Filippo viene crocifisso (in qualche caso a testa in giù)
11M43	Fortezza, 'Fortitudo' ~ una delle quattro Virtù Cardinali
92B181	Ganimede, Ebe o altri danno da bere all'aquila di Giove
71B	Genesi dai discendenti di Caino e Set ad Abramo
71A	Genesi dalla creazione alla cacciata dal paradiso terrestre; ultimi anni di Adamo ed Eva
96A43	Genii (spiriti tutelari romani); 'Genio' (Ripa)
73B832	Gesù Bambino e Giovanni Battista (bambino)
11F711	Gesù Bambino in atto di parlare o benedire ~ rappresentazioni della Madonna
11D25	Gesù Bambino insieme ad altri personaggi
73B28	Gesù Bambino nella mangiatoia
11D2	Gesù Bambino o giovane (in generale) ~ religione cristiana
73B931	Gesù è ritrovato dai genitori
73D31	Getsemani, Monte degli Ulivi, 'Oelberg' (Mt. 26, 36-56; Mc. 14, 32-52; Lc. 22, 39-53; Gv. 18, 1-12)
71C312	Giacobbe a Betel (Gen. 28, 11-22)
71C313	Giacobbe al pozzo di Carran
71C322	Giacobbe e l'angelo
71C3222	Giacobbe lotta con l'angelo (o con un uomo) fino allo spuntare del giorno; Giacobbe si sloga l'articolazione del femore
71A321	Giardino di Eden, paradiso
94A6	Giasone torna a Iolco
91C214	Giganti sepolti sotto i vulcani
73A233	Gioacchino nel deserto con i suoi pastori
71W5	Giobbe sul letamaio
71V2	Giona nel ventre del pesce (Gn. 2, 1 - 3, 2)
71V1341	Giona viene inghiottito da un grosso pesce, mostro (marino), balena, delfino o simili
73G11	Giovanni (in atto di scrivere) sull'isola di Patmos; in qualche caso compare l'aquila accanto a lui
73C132	Giovanni Battista arrestato e imprigionato
73C131	Giovanni Battista biasima Erode (Erode Antipa) e Erodiade
73C12	Giovanni Battista in atto di battezzare
73C11	Giovanni Battista in atto di predicare (talvolta Cristo è tra i presenti)
73C1321	Giovanni Battista in prigione
73A17	Giovanni Battista lascia i suoi genitori per andare nel deserto
73A18	Giovanni Battista nel deserto, accompagnato in genere dall'agnello
73A181	Giovanni prega e medita
92B171	Giove come re del cielo
92B1218	Giove, in genere sotto forma di un toro bianco, rapisce Europa e la conduce attraverso le acque
92B1222	Giove, sotto forma di cigno, e Leda
73D26	Giuda si reca dai sommi sacerdoti, tradisce Cristo e riceve il compenso (Mt. 26, 14-16; Mc. 14, 10-11; Lc. 22, 4-6)
71F1	Giudici 1-5
71F2	Giudici 6-12
71U42	Giuditta con la sua ancella nell'accampamento di Oloferne
71U42731	Giuditta con la testa di Oloferne e la spada
71U4273	Giuditta decapita Oloferne con la sua spada; l'ancella può essere raffigurata mentre sta di guardia
71U4	Giuditta e Oloferne
71U427	Giuditta e Oloferne vengono lasciati soli
71U4274	Giuditta e la sua ancella mettono in un sacco la testa di Oloferne
11U	Giudizio Universale
92C173	Giunone Juga, Giunone Pronuba, protettrice del matrimonio
92C152	Giunone chiede a Eolo di liberare i venti (Eneide I, 50-86)
73B721	Giuseppe con Gesù Bambino (e Maria) nella sua bottega di falegname
73B72	Giuseppe e Gesù Bambino ~ vita quotidiana a Nazaret
71D13	Giuseppe nella casa di Putifarre; la castità di Giuseppe
71D11	Giuseppe si attira l'odio dei suoi fratelli
73E81	Giuseppe sul letto di morte; sono presenti Cristo e Maria
73A572	Giuseppe tormentato per la gravidanza di Maria; annuncio a Giuseppe in sogno (Mt. 1, 19-25)
71D12	Giuseppe venduto come schiavo e condotto in Egitto
71D1241	Giuseppe viene gettato in una fossa (generalmente rappresentata come un pozzo o una cisterna)
71D1252	Giuseppe viene venduto per venti pezzi d'argento
71D124	Giuseppe è spogliato della tunica dai suoi fratelli
11M44	Giustizia, 'Justitia'; 'Giustizia divina' (Ripa) ~ una delle quattro Virtù Cardinali
92I71181	Gorgoneion, testa di Medusa
92I71	Gorgoni
92D3	Grazie (Cariti), generalmente in numero di tre; 'Gratie' (Ripa)
11D113	IHS ('Iesus Hominum Salvator') ~ simbolo di Cristo
97CC6	Io trasformata in giovenca: Giove trasforma Io in giovenca per sottrarla alla gelosia di Giunone (Met. I, 611)
97CC62	Io, trasformata in giovenca, viene sorvegliata da Argo
71C274	Isacco sdraiato nel letto benedice Giacobbe che, travestito con le vesti di Esaù, gli porta il cibo; le mani e il collo di Giacobbe sono ricoperti con le pelli dei capretti
71C271	Isacco, ormai vecchio e quasi cieco, manda Esaù a cacciare della selvaggina; Rebecca ascolta la conversazione
92C121	Issione abbraccia una nuvola (Nefele) che appare sotto le sembianze di Giunone
71C319	Labano insegue Giacobbe (Gen. 31, 22-54)
71C3194	Labano perquisisce le tende e le cose di Giacobbe per trovare i terafim
94H213	Laocoonte e i suoi gemelli sono strangolati da due serpenti durante i preparativi per un sacrificio
46A170	Lavoro
94L32	Le dodici fatiche di Ercole: prima serie
8	Letteratura
73D633	Longino trafigge il fianco di Cristo con la lancia
11F6	Madonna (Maria Vergine con Gesù Bambino) accompagnata o attorniata da altri personaggi
11F5	Madonna (Maria Vergine con Gesù Bambino) raffigurata nel cielo o sulle nuvole
11F4132	Madonna (nella mandorla) sulla mezzaluna (chiamata talvolta la Regina del Cielo)
11F63	Madonna (o Maria Vergine senza Gesù Bambino) come patrona o protettrice, p.es. di una confraternita o di un ordine laico
11F623	Madonna del Rosario (anche senza altre figure)
11F624	Madonna della Misericordia, 'Mater Misericordiae', 'Schutzmantelmadonna', 'Schutzmantelmaria'
11F61	Madonna e santi
11F41	Madonna: Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino stretto al seno
11F43	Madonna: Maria Vergine seduta a terra, con Gesù Bambino in grembo
11F42	Madonna: Maria Vergine seduta o in trono, con Gesù Bambino in grembo (o davanti al seno) (Maria Vergine è talvolta rappresentata a mezza figura)
11F4	Madonna: ovvero Maria Vergine con il Bambino, senza altri personaggi (Gesù Bambino può trovarsi in piedi su una balaustra, altare, tavolo, ecc.)
73D132	Maria (Maddalena) unge i piedi di Cristo
73A51	Maria (sola) che legge, prega, ecc. ~ Annunciazione
73E31	Maria Maddalena in ginocchio davanti a Cristo, rappresentato di solito come un giardiniere, con la zappa e/o la vanga: 'Noli me tangere'
11F	Maria Vergine
11F2	Maria Vergine (senza Gesù Bambino)
11F3	Maria Vergine (senza Gesù Bambino), insieme ad altri personaggi
11F35	Maria Vergine Regina degli apostoli
11F23	Maria Vergine a figura eretta senza Gesù Bambino
11F231	Maria Vergine come orante (talvolta chiamata 'Blacherniotissa') ~ Maria Vergine a figura eretta senza Gesù Bambino
11F45	Maria Vergine in ginocchio (a terra), con Gesù Bambino davanti a lei
11F411	Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino davanti a lei
11F4123	Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino disteso sul braccio
11F412	Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino in braccio
11FF412	Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino in braccio - FF - Gesù Bambino alla destra di Maria
11F4122	Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino seduto in braccio
11FF4122	Maria Vergine in piedi (a figura intera o a mezza figura), con Gesù Bambino seduto in braccio - FF - Gesù Bambino alla destra di Maria
11F4121	Maria Vergine in piedi (a figura intera o a mezza figura),con Gesù Bambino in piedi in braccio
11F244	Maria Vergine in trono (seduta, senza altri personaggi)
11F32	Maria Vergine insieme a figure di mortali, che l'adorano, o implorano il suo aiuto
11F251	Maria Vergine piangente
11F731	Maria Vergine regge qualcosa, p.es. una mela, un grappolo d'uva, il crocifisso, il cardellino ~ rappresentazioni della Madonna
11F431	Maria Vergine seduta al suolo, con Gesù Bambino in grembo davanti a lei
11F4212	Maria Vergine seduta o in trono, Gesù Bambino seduto davanti a lei
11F421	Maria Vergine seduta o in trono, con Gesù Bambino davanti a lei in grembo (o davanti al seno)
11F4223	Maria Vergine seduta o in trono, con Gesù Bambino disteso sulle ginocchia (Gesù Bambino alla sinistra di Maria Vergine)
11F4211	Maria Vergine seduta o in trono, con Gesù Bambino in piedi davanti a lei in grembo (o davanti al seno)
11F4221	Maria Vergine seduta o in trono, con Gesù Bambino in piedi sulle ginocchia (Gesù Bambino alla sinistra di Maria Vergine)
11F4222	Maria Vergine seduta o in trono, con Gesù Bambino seduto sulle ginocchia (Gesù Bambino alla sinistra di Maria Vergine)
